261,UL101,Ultrasonic Meter,UL101,U-Z,3,3,1/2/2016,5,1/2/2016
262,ADAPT-SER-USB,USB to Serial Adapter,ADAPT-SER-USB,U-Z,1,1,1/2/2016,5,1/2/2016
263,BRD10,USB Video Receiver,BRD10,U-Z,5,5,1/2/2016,5,1/2/2016
265,SDL310,Vane Thermo-Anemometer,SDL310,U-Z,4,4,1/2/2016,5,1/2/2016
266,Fluke 805,Vibration Meter,Fluke 805,U-Z,2,2,1/2/2016,5,1/2/2016
267,Fluke 810,Vibration Tester,Fluke 810,U-Z,2,2,1/2/2016,5,1/2/2016
268,Extech BR250,Video Borescope,Extech BR250,U-Z,5,5,1/2/2016,5,1/2/2016
269,BR200-EXT,Video Borescope Extension Cable,BR200-EXT,U-Z,5,5,1/2/2016,5,1/2/2016
270,VIR50,Video IR Thermometer,VIR50,U-Z,2,2,1/2/2016,5,1/2/2016
271,Cable-ADAP5,Voltage Input adapter cable,Cable-ADAP5,U-Z,2,2,1/2/2016,5,1/2/2016
272,A-WNB-LEADSET,VOLTAGE input lead set,A-WNB-LEADSET,U-Z,3,3,1/2/2016,5,1/2/2016
275,UTBI-001,Water Temperature Logger,UTBI-001,U-Z,2,2,1/2/2016,5,1/2/2016
277,netatmo,Weather Station,netatmo,U-Z,1,1,1/2/2016,5,1/2/2016
278,S-EXT-CASE2,WeatherProof EXT. Housing,S-EXT-CASE2,U-Z,8,8,1/2/2016,5,1/2/2016
281,Wi-Spy DBx,Wifi Spectrum Analyzer,Wi-Spy DBx,U-Z,1,1,1/2/2016,5,1/2/2016
282,S-WDA-M003,Wind Direction Smart Sensor,S-WDA-M003,U-Z,3,3,1/2/2016,5,1/2/2016
283,S-WSA-M003,Wind Speed Smart Sensor,S-WSA-M003,U-Z,2,2,1/2/2016,5,1/2/2016
